Impedance values for 480 frequencies
Frequency(Hz)   Magnitude(ohm)    Phase(deg)  
20.000  9.230  36.029
20.291  9.323  36.641
20.585  9.417  37.213
20.884  9.512  37.732
21.188  9.609  38.226
21.495  9.709  38.722
21.808  9.812  39.250
22.124  9.921  39.844
22.446  10.041  40.492
22.772  10.170  41.164
23.103  10.309  41.842
23.438  10.458  42.504
23.779  10.635  43.141
24.124  10.822  43.786
24.474  11.018  44.439
24.830  11.224  45.101
25.191  11.432  45.772
25.557  11.650  46.453
25.928  11.879  47.142
26.304  12.121  47.840
26.686  12.408  48.544
27.074  12.722  49.250
27.467  13.057  49.958
27.866  13.414  50.662
28.271  13.776  51.305
28.682  14.167  51.931
29.098  14.587  52.541
29.521  15.069  53.147
29.950  15.643  53.742
30.385  16.293  54.310
30.826  17.019  54.839
31.274  17.824  55.251
31.728  18.744  55.578
32.189  19.781  55.817
32.657  20.984  56.009
33.131  22.387  56.048
33.612  23.998  55.920
34.101  25.851  55.354
34.596  28.036  54.296
35.099  30.568  52.756
35.608  33.587  50.731
36.126  37.150  47.870
36.650  41.263  44.080
37.183  46.487  38.447
37.723  52.386  31.174
38.271  56.964  21.804
38.827  59.343  9.503
39.391  59.697  -2.918
39.963  55.342  -13.859
40.543  48.638  -23.660
41.132  42.821  -31.700
41.730  37.763  -36.649
42.336  33.301  -40.113
42.951  29.507  -42.316
43.575  26.293  -43.713
44.208  23.687  -44.297
44.850  21.550  -44.358
45.501  19.792  -43.962
46.162  18.311  -43.222
46.833  17.020  -42.342
47.513  15.841  -41.415
48.203  14.805  -40.352
48.903  13.953  -38.922
49.614  13.220  -37.223
50.334  12.566  -35.280
51.066  11.990  -33.236
51.807  11.508  -31.277
52.560  11.109  -29.327
53.323  10.786  -27.258
54.098  10.520  -25.122
54.884  10.317  -23.402
55.681  10.117  -21.898
56.490  9.875  -20.568
57.310  9.630  -19.175
58.143  9.385  -17.567
58.987  9.176  -15.718
59.844  9.031  -13.635
60.713  8.905  -11.363
61.595  8.808  -9.061
62.490  8.765  -7.243
63.398  8.719  -5.345
64.319  8.669  -3.346
65.253  8.636  -1.887
66.201  8.601  -0.364
67.162  8.544  1.554
68.138  8.544  3.703
69.128  8.553  5.874
70.132  8.543  7.916
71.151  8.579  9.809
72.184  8.638  11.796
73.233  8.710  13.980
74.296  8.793  16.259
75.376  8.908  18.230
76.470  9.054  20.066
77.581  9.215  22.095
78.708  9.374  24.005
79.851  9.555  26.001
81.011  9.807  28.015
82.188  10.120  29.935
83.382  10.447  31.755
84.593  10.790  33.346
85.822  11.156  35.010
87.068  11.604  36.614
88.333  12.082  37.810
89.616  12.495  38.710
90.918  13.016  40.037
92.239  13.405  41.558
93.579  13.898  43.714
94.938  14.694  45.790
96.317  15.647  47.663
97.716  16.755  49.455
