Impedance values for 480 frequencies
Frequency(Hz)   Magnitude(ohm)    Phase(deg)  
20.000  17.398  7.047
20.291  17.428  7.109
20.585  17.455  7.169
20.884  17.474  7.226
21.188  17.491  7.275
21.495  17.507  7.323
21.808  17.526  7.379
22.124  17.549  7.463
22.446  17.577  7.586
22.772  17.608  7.724
23.103  17.638  7.860
23.438  17.665  7.978
23.779  17.686  8.076
24.124  17.699  8.167
24.474  17.712  8.250
24.830  17.730  8.326
25.191  17.777  8.393
25.557  17.837  8.448
25.928  17.900  8.500
26.304  17.957  8.564
26.686  18.005  8.661
27.074  18.052  8.768
27.467  18.096  8.877
27.866  18.137  8.982
28.271  18.176  9.084
28.682  18.210  9.183
29.098  18.247  9.286
29.521  18.298  9.407
29.950  18.356  9.557
30.385  18.416  9.714
30.826  18.476  9.851
31.274  18.537  9.957
31.728  18.600  10.056
32.189  18.663  10.146
32.657  18.719  10.237
33.131  18.768  10.321
33.612  18.823  10.396
34.101  18.899  10.447
34.596  18.989  10.472
35.099  19.074  10.512
35.608  19.142  10.623
36.126  19.201  10.752
36.650  19.269  10.892
37.183  19.349  11.040
37.723  19.439  11.199
38.271  19.540  11.298
38.827  19.661  11.216
39.391  19.784  11.136
39.963  19.872  11.206
40.543  19.933  11.349
41.132  20.021  11.436
41.730  20.145  11.455
42.336  20.277  11.474
42.951  20.416  11.497
43.575  20.561  11.525
44.208  20.693  11.540
44.850  20.801  11.536
45.501  20.920  11.536
46.162  21.060  11.549
46.833  21.203  11.562
47.513  21.340  11.553
48.203  21.477  11.514
48.903  21.650  11.361
49.614  21.843  11.141
50.334  22.000  11.124
51.066  22.144  11.208
51.807  22.315  11.059
52.560  22.508  10.827
53.323  22.740  10.713
54.098  22.991  10.636
54.884  23.161  10.328
55.681  23.325  9.991
56.490  23.561  9.705
57.310  23.787  9.468
58.143  23.972  9.304
58.987  24.138  9.108
59.844  24.286  8.852
60.713  24.555  8.403
61.595  24.860  7.857
62.490  25.103  7.267
63.398  25.292  6.762
64.319  25.439  6.411
65.253  25.659  5.804
66.201  25.895  5.186
67.162  26.139  4.634
68.138  26.369  3.949
69.128  26.544  3.247
70.132  26.617  2.588
71.151  26.759  1.896
72.184  26.886  1.087
73.233  26.974  0.105
74.296  27.144  -0.721
75.376  27.288  -1.531
76.470  27.371  -2.361
77.581  27.385  -3.255
78.708  27.451  -4.124
79.851  27.405  -5.051
81.011  27.350  -6.046
82.188  27.373  -7.063
83.382  27.130  -7.949
84.593  27.081  -8.842
85.822  26.956  -9.780
87.068  26.843  -10.747
88.333  26.721  -11.672
89.616  26.516  -12.498
90.918  26.317  -13.378
92.239  26.027  -14.214
93.579  25.806  -14.769
94.938  25.535  -15.572
96.317  25.263  -16.344
97.716  24.988  -17.016
99.135  24.687  -17.602
100.575  24.416  -18.186
102.036  24.072  -18.733
103.518  23.706  -19.232
105.022  23.385  -19.649
106.548  23.117  -20.121
108.095  22.765  -20.525
109.665  22.511  -20.831
111.258  22.179  -21.242
112.874  21.890  -21.393
114.514  21.614  -21.546
116.177  21.335  -21.707
117.865  21.030  -21.816
119.577  20.727  -21.934
121.314  20.458  -21.952
123.076  20.226  -22.015
124.864  19.979  -22.124
126.678  19.723  -22.037
128.518  19.502  -22.014
130.385  19.245  -21.960
132.279  19.032  -21.947
134.200  18.832  -21.779
136.149  18.618  -21.708
138.127  18.425  -21.479
140.133  18.258  -21.346
142.169  18.049  -21.244
144.234  17.876  -21.034
146.329  17.716  -20.866
148.455  17.552  -20.566
150.611  17.396  -20.468
152.799  17.234  -20.180
155.018  17.101  -19.940
157.270  16.963  -19.744
159.554  16.818  -19.587
161.872  16.698  -19.281
164.223  16.580  -18.945
166.609  16.474  -18.690
169.029  16.346  -18.419
171.484  16.243  -18.078
173.975  16.138  -17.850
176.502  16.037  -17.609
179.066  15.968  -17.328
181.667  15.839  -17.034
184.306  15.781  -16.741
186.983  15.665  -16.634
189.699  15.623  -16.112
192.455  15.532  -15.859
195.250  15.453  -15.612
198.086  15.397  -15.192
200.964  15.318  -14.950
203.883  15.254  -14.679
206.844  15.222  -14.390
209.849  15.150  -14.122
212.897  15.088  -13.807
215.990  15.034  -13.557
219.127  14.982  -13.251
222.310  14.952  -12.911
225.539  14.899  -12.712
228.815  14.851  -12.327
232.139  14.821  -12.162
235.511  14.777  -11.900
238.932  14.732  -11.697
242.403  14.676  -11.262
245.924  14.654  -10.972
249.496  14.623  -10.644
253.120  14.584  -10.444
256.797  14.552  -10.194
260.527  14.523  -9.943
264.311  14.498  -9.663
268.151  14.479  -9.431
272.046  14.447  -9.185
275.997  14.415  -8.972
280.006  14.404  -8.681
284.074  14.397  -8.358
288.200  14.365  -8.194
292.386  14.345  -7.957
296.633  14.328  -7.692
300.942  14.330  -7.634
305.314  14.298  -7.266
309.748  14.286  -6.982
314.248  14.268  -6.725
318.812  14.251  -6.520
323.443  14.228  -6.187
328.142  14.218  -6.046
332.908  14.234  -5.792
337.744  14.213  -5.690
342.650  14.219  -5.274
347.627  14.202  -5.144
352.677  14.179  -4.825
357.799  14.187  -4.659
362.997  14.178  -4.371
368.269  14.136  -4.205
373.619  14.158  -4.031
379.046  14.147  -3.792
384.552  14.154  -3.583
390.138  14.145  -3.465
395.805  14.152  -3.136
401.554  14.165  -2.861
407.387  14.136  -2.734
413.304  14.144  -2.622
419.308  14.108  -2.323
425.399  14.120  -2.219
431.578  14.117  -1.944
437.847  14.127  -2.059
444.207  14.114  -1.550
450.659  14.140  -1.494
457.205  14.131  -1.221
463.847  14.136  -0.936
470.584  14.161  -0.809
477.420  14.131  -0.591
484.355  14.137  -0.409
491.390  14.150  -0.256
498.528  14.161  -0.072
505.770  14.175  0.166
513.116  14.175  0.330
520.570  14.187  0.450
528.131  14.194  0.662
535.803  14.199  0.792
543.586  14.189  1.113
551.482  14.208  1.122
559.492  14.201  1.489
567.619  14.210  1.552
575.864  14.237  1.851
584.229  14.231  2.002
592.716  14.258  2.029
601.325  14.247  2.356
610.060  14.286  2.513
618.921  14.266  2.580
627.912  14.295  2.822
637.032  14.293  2.994
646.286  14.316  3.207
655.673  14.297  3.359
665.198  14.332  3.544
674.860  14.339  3.755
684.663  14.363  3.843
694.608  14.360  4.121
704.698  14.391  4.145
714.934  14.394  4.392
725.319  14.394  4.619
735.855  14.432  4.727
746.543  14.413  5.013
757.387  14.427  5.240
768.389  14.466  5.290
779.550  14.505  5.392
790.874  14.502  5.600
802.362  14.537  5.753
814.017  14.579  6.097
825.841  14.566  6.046
837.837  14.564  6.288
850.007  14.588  6.443
862.354  14.601  6.561
874.880  14.618  6.695
887.588  14.653  6.883
900.481  14.677  7.115
913.561  14.676  7.260
926.831  14.691  7.413
940.294  14.723  7.702
953.953  14.754  7.848
967.810  14.732  7.880
981.868  14.786  8.045
996.130  14.744  8.889
1010.599  14.869  8.466
1025.279  14.842  8.567
1040.172  14.898  8.893
1055.281  14.916  9.010
1070.610  14.937  9.148
1086.161  14.965  9.346
1101.938  14.992  9.465
1117.945  15.019  9.640
1134.184  15.047  9.835
1150.659  15.078  9.998
1167.373  15.108  10.156
1184.330  15.147  10.358
1201.533  15.181  10.501
1218.986  15.207  10.658
1236.693  15.241  10.851
1254.656  15.265  11.002
1272.881  15.304  11.173
1291.370  15.336  11.322
1310.129  15.375  11.521
1329.159  15.403  11.638
1348.466  15.446  11.816
1368.053  15.490  12.033
1387.925  15.524  12.148
1408.086  15.560  12.300
1428.539  15.601  12.470
1449.290  15.633  12.640
1470.342  15.678  12.796
1491.700  15.728  12.987
1513.367  15.770  13.106
1535.350  15.810  13.288
1557.652  15.856  13.465
1580.278  15.903  13.582
1603.233  15.947  13.762
1626.521  15.993  13.943
1650.147  16.040  14.063
1674.117  16.084  14.230
1698.434  16.136  14.377
1723.105  16.189  14.531
1748.135  16.237  14.696
1773.527  16.291  14.829
1799.289  16.348  14.999
1825.425  16.400  15.122
1851.941  16.457  15.284
1878.841  16.516  15.417
1906.133  16.569  15.574
1933.821  16.630  15.710
1961.911  16.681  15.867
1990.409  16.765  15.994
2019.321  16.805  16.152
2048.653  16.873  16.267
2078.411  16.938  16.397
2108.602  16.995  16.523
2139.230  17.067  16.657
2170.304  17.132  16.812
2201.829  17.194  16.912
2233.812  17.266  17.044
2266.260  17.329  17.161
2299.179  17.409  17.280
2332.576  17.472  17.390
2366.458  17.553  17.518
2400.833  17.618  17.609
2435.707  17.695  17.727
2471.087  17.768  17.826
2506.981  17.843  17.919
2543.397  17.918  18.034
2580.342  17.998  18.103
2617.823  18.083  18.223
2655.848  18.159  18.305
2694.426  18.237  18.399
2733.565  18.316  18.489
2773.272  18.400  18.563
2813.555  18.489  18.664
2854.424  18.571  18.726
2895.887  18.658  18.789
2937.951  18.743  18.859
2980.627  18.835  18.942
3023.923  18.916  18.993
3067.847  19.001  19.051
3112.410  19.095  19.112
3157.620  19.188  19.163
3203.487  19.273  19.201
3250.019  19.373  19.264
3297.228  19.457  19.308
3345.123  19.547  19.354
3393.713  19.643  19.374
3443.009  19.737  19.398
3493.021  19.830  19.439
3543.760  19.927  19.456
3595.235  20.024  19.483
3647.458  20.123  19.503
3700.440  20.218  19.522
3754.192  20.316  19.529
3808.724  20.410  19.542
3864.048  20.514  19.549
3920.176  20.609  19.544
3977.119  20.706  19.532
4034.890  20.804  19.537
4093.499  20.902  19.528
4152.960  20.999  19.496
4213.285  21.092  19.480
4274.485  21.202  19.469
4336.576  21.295  19.449
4399.567  21.396  19.420
4463.474  21.503  19.387
4528.309  21.595  19.363
4594.086  21.708  19.328
4660.818  21.798  19.283
4728.520  21.898  19.239
4797.205  21.998  19.199
4866.887  22.099  19.125
4937.582  22.198  19.094
5009.304  22.294  19.037
5082.067  22.393  18.983
5155.888  22.500  18.916
5230.781  22.593  18.853
5306.762  22.696  18.780
5383.846  22.792  18.721
5462.050  22.887  18.650
5541.390  22.981  18.572
5621.883  23.080  18.490
5703.544  23.176  18.410
5786.392  23.275  18.334
5870.443  23.363  18.243
5955.716  23.461  18.172
6042.227  23.561  18.090
6129.994  23.645  17.989
6219.037  23.736  17.901
6309.372  23.833  17.819
6401.021  23.918  17.703
6494.000  24.008  17.611
6588.329  24.098  17.525
6684.029  24.187  17.413
6781.120  24.279  17.312
6879.620  24.364  17.198
6979.551  24.445  17.085
7080.934  24.533  16.987
7183.790  24.627  16.896
7288.139  24.709  16.790
7394.004  24.788  16.673
7501.407  24.867  16.563
7610.370  24.946  16.446
7720.916  25.032  16.344
7833.067  25.108  16.222
